Nama|NPWP|Komite Audit Ketua|Nama Penerima|Komite Audit Anggota 2|Komite Audit Anggota 3|Komite Audit Anggota 4|Komite Audit Anggota 5|Direktur Utama|Direktur 1|Direktur 2|Direktur 3|Direktur 4|Direktur 5|Direktur 6|Direktur 7|Direktur 8|Direktur 9|Direktur 10|Direktur 11|Direktur 12|Direktur 13|Direktur 14|Komisaris Utama|Komisaris 1|Komisaris 2|Komisaris 3|Komisaris 4|Komisaris 5|Komisaris 6|Komisaris 7|Komisaris 8|Komisaris 9|Komisaris 10|Komisaris 11|Komisaris 12|Komisaris 13|Komisaris 14|Corporate Secretary|Established Date|Listing Date|Alamat|Phone|Fax|Homepage|Email|Pemilik Saham 1
PT Raja Roti Cemerlang Tbk|750305674435000|Leo Herlambang||Muhlisin|Raden Mas Bagus Adrian Prandika Putra|||Ari Sudarsono|Dicky Chandra Hermawan||||||||||||||Afiful Mahis|Rosyita Rachmi Sholihah|Leo Herlambang|||||||||||||Nurjihan Khairunisa||2025-01-09|Kampung Pulo Kendal RT002/RW003, Kel. Setia Asih, Kec. Tarumajaya, Kab. Bekasi, Provinsi Jawa Barat 17215|021-29084611||www.rajaroticemerlang.com|corporate.secretary@rajaroticemerlang.com|Ari Sudarsono
PT Wulandari Bangun Laksana Tbk|017008582725000|Veronica Pudjiati Lias||Sudjadi Budiono|Handrian Saragih|||Christopher Sumasto Tjia|Leonardus Sutarman|Tjia Daniel Wirawan|Nicholas Sumasto||||||||||||Francisco Sumasto|Clarissa Ady Sumasto Tjia|Veronica Pudjiati Lias|||||||||||||Alexsandro Martin Tiga||2022-11-08|Jl. Jend. Sudirman No. 47 Tower G Komplek Balikpapan Superblock Stall Kuda Kota Balikpapan, Kalimantan Timur 76114|(0542) - 765888|(0542) - 765999|www.balikpapansuperblock.com|corsec.wbl@gmail.com|Christopher Sumasto Tjia
PT Bumi Serpong Damai Tbk|013742499054000|Susiyati Bambang Hirawan||Rudiantara|Rusli Prakarsa|||Franciscus Xaverius RD|Syukur Lawigena|Liauw Herry Hendarta|Hermawan Wijaya|Lie Jani Harjanto|Monik William|Ir. Siswanto Adisaputro|||||||||Muktar Widjaja|Yoseph Franciscus Bonang|Teddy Pawitra|Susiyati Bambang Hirawan||||||||||||Ricardo Arif Dharmawan||2008-06-06|Sinar Mas Land Plaza Wing 3B, BSD Green Office Park, Jl. Grand Boulevard, BSD City Tangerang 15345|021-50368368|021-50588270|www.bsdcity.com|corporate.secretary@sinarmasland.com|PT Paraga Arta Mida
Bank Sinarmas Tbk|013446133054000|Sammy Kristamuljana||Robert A Simanjuntak|Reynold M Batubara|||Frenky Tirtowijoyo|Miko Andidjaja|Ekajaya Ongny Putra|Enny Kamal|Sendy|Amandalia Johanes||||||||||Tjendrawati Widjaja|Sammy Kristamuljana|Rusmin|||||||||||||Retno Tri Wulandari||2010-12-13|Sinar Mas Land Plaza - Menara 1 Lantai 8 l. MH. Thamrin No. 51 Jakarta 10350|021-31990101|021-31990401|www.banksinarmas.com|retno.t.wulandari@banksinarmas.com|Masyarakat Non Warkat
PT Bintang Samudera Mandiri Lines Tbk|026935312064000|Lolok Sujatmiko||Adji Tri Anggoro|Sury Musu|||David Desanan Anan Winowod|Pramayari Hardian Doktrianto|Yandi Tjendana|||||||||||||Mohamad Prapanca|Nengah Rama Gautama|Lolok Sudjatmiko|||||||||||||Pramayari Hardian Doktrianto||2021-12-16|Gedung Mega Plaza, Lt. 7 Lot. 7A, Jl. HR Rasuna Said Kav. C3, Kuningan, Kel. Karet Kec, Setiabudi, Jakarta Selatan 12940|021-22323392|-|www.bsmllines.com|corporate.secretary@bsmlines.com|PT Goldfive Investment Capital
Baramulti Suksessarana Tbk|015396989054000|Paul Tambunan||Dini Rosdini|Kilpady Pradeep Kumar|||Widada|Deden Ramdhan|Wong Liong Tje|Arun Viswanathan|Sang Won Lee|Fareza Deshandi||||||||||Badrodin Haiti|Adikin Basirun|J.V. Patil|Gi Ock Han|Prof. Dr. Ir. Irwandy Arif, M.Sc|Paul Tambunan|RR. Assistia Semiawan|||||||||Bueno Jurnalis||2012-11-08|Grha Baramulti Lantai 3, Jl. Suryopranoto No. 2, KOmplek Harmoni Plaza Blok A-8, Petojo Selatan, Gambir, Jakarta Pusat 10130|(021)63853228 / (021)63851334|(021)63851334|www.bssr.co.id|corsec@bssr.co.id|PT WAHANA SENTOSA CEMERLANG
Bank of India Indonesia Tbk|0011083904054000|Lungguk Gultom||Siti Yanti Enriana Gultom|Maya Indreswari|||Jayaprakash Bharathan|Carolina Dina Rusdiana|Dennis Kusuma Halim|Chandra Sekhar Mukherjee|Rahmat Hendratama|||||||||||Sudhiranjan Padhi|Handadjaja Sulaiman|Lungguk Gultom|||||||||||||Carolina Dina Rusdiana||2002-05-01|Jl. KH Samanhudi No. 37 RT 005 RW 003 Pasar Baru Sawah Besar Jakarta Pusat DKI Jakarta|021-3500007|021-3808178|www.boiindonesia.co.id|corporate@boiindonesia.co.id|Bank Of India
Bumi Teknokultura Unggul Tbk|020726493054000|Rahmat Irawan||Josua Hutapesa|Asep Dany Hartman|||Dhanny Cahyadi|Naning Wahyuningsih||||||||||||||Anne Patricia Sutanto|Rahmat Irawan||||||||||||||Gina Famya||2004-05-14|Gedung Metaepsi Jl.D.I Panjaitan Kavling 2,Rt 05 / Rw 09 Rawa Bunga,Jatinegara Jakarta Timur 13350|+62-21-8192989|+62-21-8567711|www.btek.co.id|corporate@btek.ci.id|Masyarakat Non Warkat
Bakrie Telecom Tbk|016425662054000|||||||Harya Mitra Hidayat|Agustinus Harimurti|Esfandry Ferdinal Syaiful|Albert Wicaksana||||||||||||Taufan E.N Rotorasiko|John Pieter Nazar|Jastiro Abi|Neil R Tobing|Dudi Hendrakusuma Syahlani|||||||||||Purwoko Suatmadji||2006-02-03|Wisma Bakrie I Lantai 3 Jl. H.R Rasuna Said Kav. B-1 Jakarta 12920|021 - 91101112|021 - 57945751|http://www.bakrietelecom.com|corsec@bakrietelecom.com|PT HUAWEI TECH INVESTMENT
Betonjaya Manunggal Tbk|015686447054000|DR. Bambang Hariadi MEC., Ak||Saiful Fuad SE.|M. Alif Amrulloh SE.|||Gwie Gunadi Gunawan|Drs. Andy Soesanto MBA.MM|Jenny Tanujaya MBA.|||||||||||||Gwie Gunato Gunawan|DR. Bambang Hariadi Mec. Ak||||||||||||||Novi Tjahjaning Rahayu||2001-07-18|Jl. Raya Krikilan No. 434 Km. 28 Driyorejo Gresik|031-749-05-98|031- 7490581-750 7302|0|secretary@bjm.co.id|GWIE GUNADI GUNAWAN
PT Bank SMBC Indonesia Tbk|011397973091000|Onny Widjanarko||Kusumaningtuti Sandriharmy Soetiono|Aria Kanaka|Marita Alisjahbana||Henoch Munandar|Dini Herdini|Yuki Terayama|Merisa Darwis|Hanna Tantani|Atsushi Hino||||||||||Chow Ying Hoong|Takeshi Kimoto|Ninik Herlani Masli Ridhwan|Kusumaningtuti Sandriharmy Soetiono|Onny Widjanarko|Marita Alisjahbana||||||||||Eneng Yulie Andriani||2008-03-12|Menara SMBC, CBD Mega Kuningan Lantai 29. Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6 Jakarta 12950|021-300 26 200|021-300 26 309|www.smbci.com|corporate.secretary@smbci.com|Sumitomo Mitsui Banking Corporation
PT Bank BTPN Syariah Tbk.|0015518061511000|Kemal Azis Stamboel||Dewi Pelitawati|Tika Arundina|Rena Mutia Indiani||Hadi Wibowo|Arief Ismail|Fachmy Achmad|Dwiyono Bayu Winantio|Dewi Nuzulianti|||||||||||Kemal Azis Stamboel|Dewie Pelitawati|Ongki Wanadjati Dana|Mulya Effendi Siregar||||||||||||Arief Ismail||2018-05-08|Menara SMBC Lantai 12, CBD Mega Kuningan, Jl. DR Ide Anak Agung Gde Agung Kav. 5.5-5.6, Jakarta Selatan 12950|+62-21 300 26 400|+62-21 252 0356|www.btpnsyariah.com|corsec@btpnsyariah.com|PT Bank SMBC Indonesia Tbk
PT Segar Kumala Indonesia Tbk|824128318048000|Iwanho||Kho Petrus|Josephine Lee|||Renny Lauren|Vianita Januarini||||||||||||||Micheal Iksan Susilo|Hendro Susilo|Bagus Abimanyu Lulu|||||||||||||Syanne||2022-08-09|Jalan Cakung Cilincing Raya 188, Cakung Barat, Kecamatan Cakung, Kota Jakarta Timur, 13910|0214603125||www.sk-indonesia.com|corporate.secretary@sk-indonesia.com|Hendro Susillo
PT Budi Starch & Sweetener Tbk.|012211272054000/0012211272054000|Daniel Kandinata||Liesye Lestari|Yetty Semiawaty|||Santoso Winata|Djunaidi Nur|Sugandhi|Oey Albert|Tan Anthony Sudirjo|Jason Winata||||||||||Widarto|Oey Alfred|Daniel Kandinata|||||||||||||Alice Yuliana||1995-05-08|Wisma Budi Lantai 8-9. Jl H.R.Rasuna Said Kav C6|021-5213383|021-5213339, 5213392|http://www.budistarchsweetener.com|alice.yuliana@sungaibudi.com|Masyarakat Non Warkat
PT Bukalapak.com Tbk|031183643014000|Dra. Zannuba Arifah CH.R||Prof. Sidharta Utama PhD CA CFA.|Iwan Setiawan|||Willix Halim|Natalia Firmansyah|Victor Putra Lesmana|||||||||||||Prof. Dr. Bambang Permadi Soemantri Brodjonegoro|RD Adi Wardhana Sariaatmadja|Dra Zannuba Arifah CH.R|||||||||||||Cut Fika Lutfi||2021-08-06|Metropolitan Tower, Lantai 22 Jalan Raden Adjeng Kartini, Kav. 14 Jakarta Selatan 12440|02150982008||www.bukalapak.com|corsec@bukalapak.com|Masyarakat Non Warkat
Bukaka Teknik Utama Tbk|013158118054000|Zulkarnain||Amirudin|Tukijan|||Irsal Kamarudin|A.Afifuddin Suhaeli|Teguh Wicaksana Sari|||||||||||||Suhaeli Kalla|Solihin Jusuf Kalla|Sumarsono|||||||||||||A. Afifuddin Suhaeli||2015-06-29|Bukaka Industrial Estate Jl. Raya Narogong - Bekasi Km. 19,5 Limusnunggal, Cileungsi, Bogor, Jawa Barat 16820|021 8232323 (hunting)|021 8231150|ttp://www.bukaka.com|corsec@bukaka.com|Suhaelly Kalla
PT Buana Lintas Lautan Tbk.|024668733081000|M. Harry Santoso||Dian Natha|Erma Puji Kurnianti|||Henry Jusuf|Vicky Ganda Saputra|Wong Kevin|Santoso Salim||||||||||||Halim Jusuf|M. Harry Santoso|Fauqi Hapidekso|||||||||||||Krisnanto Tedjaprawira||2011-05-23|Jalan Mega Kuningan Timur Blok C.6 Kav.12A Kawasan Mega Kuningan Jakarta Selatan 12950|6221 - 30485700|6221 - 30485701|www.bull.co.id|investor@bull.co.id|Masyarakat Non Warkat
Bumi Resources Tbk|011221017054000|||||||Adika Nuraga Bakrie|Nalinkant A. Rathod|Adrian Wicaksono|Phiong Phillipus Darma|Eddy Sanusi|Andrew C. Beckham|Dileep Srivastava|R.A. Sri Dharmayanti|Ashok Mitra|Maringan M. Ido Hotna Hutabarat|Yingbin Ian He|Rio Supin|Jian Wang|Himawan Setiadi||Sharif Cicip Sutardjo|Anton Setianto Soedarsono|Kanaka Puradiredja|Y.A. Didik Cahyanto|Anggawira|Adhika Andrayudha Bakrie|Thomas Myer Kearney|Jinping Ma|Ben Niu|||||||Irana Candra Mala||1990-07-30|Bakrie Tower, Lt. 12 Complex Rasuna Epicentrum Jl. H.R. Rasuna Said Jakarta 12960|(021) 57942080|021- 57942070|http://www.bumiresources.com|dileep@bumiresources.com|Mach Energy (Hongkong) Limited
PT Bukit Uluwatu Villa Tbk|020978276054001|Seong Hoon Park||Raditia Christine Senjaya|Nancy Nataleo|||SATRIO|HENDRY UTOMO||||||||||||||ASTINI BERNAWATI OUDANG|SEONG HOON PARK|CINDY BUDIJONO|||||||||||||Rian Fachmi Tobing||2010-07-12|Gedung Graha Iskandarsyah Lantai 6, Jalan Iskandarsyah Raya No 66C, Jakarta Selatan 12160|Kantor cabang :021-7209957|Kantor cabang : 021-7207523|www.buvagroup.com|corsec@buvagroup.com|PT NUSANTARA UTAMA INVESTAMA
Bank Victoria International Tbk|015920259054000|Zaenal Abidin||Yozef Abdulrachman|Medi Sejati|||ACHMAD FRISCANTONO|DEBORA WAHJUTIRTO TANOYO|LEMBING|TAMUNAN||||||||||||ZAENAL ABIDIN|GUNAWAN TENGGARAHARDJA|SIA LENG HO|||||||||||||Caprie Ardira Azhar||1999-06-30|Graha BIP Lantai 10, Jl. Gatot Subroto Kav. 23, Jakarta|021-5228888|021-5228777|www.victoriabank.co.id|corsec@victoriabank.co.id|PT Victoria Investama Tbk
Eagle High Plantations Tbk|018829085054000|Yohanes Wahyu Saronto||Riniek Winarsih|Bastian Purnama|||Henderi Djunaidi|Andrew Haryono|Yeoh Lean Khai|Choong Kam Loong||||||||||||Abed Nego|Muhammad Prianto Madelar|Yohanes Wahyu Saronto|||||||||||||Rizka Dewi Sulistyorini||2009-10-27|Rajawali Place Lt. 28, Jl. HR Rasuna Said Kav. B/4, RT 003/RW 07, Kel. Setiabudi, Kec. Setiabudi, Jakarta Selatan 12910|(021) 8665 8828|-|www.eaglehighplantations.com|corsec@eaglehighplantations.com|PT Rajawali Capital Internasional
Bayan Resources Tbk|024331100091000|Timur Pradopo||Agung Nugroho Soedibyo|Arief Achmad Dhani|Rafika Yuniasih|Moermahadi Soerja Djanegara|Dato' Dr. Low Tuck Kwong|Jenny Quantero|Lim Chai Hock|Low Yi Ngo|Russell John Neil|Alastair Gordon Christopher Mcleod|Alexander Ery Wibowo|Oliver Khaw Kar Heng|Lee Minhyung|Merlin|Ulina Fitriani|||||Hendarman S.H.|Lifransyah Gumay S.E. Ak., M.M.|Moermahadi Soerja Djanegara|Budiman|Timur Pradopo|||||||||||Jenny Quantero||2008-08-12|Gedung Office 8, Lantai 37 Unit A-H Jl. Senopati No. 8B, Senayan, Kebayoran Baru, Jakarta Selatan 12950 - Indonesia|021-2935 6888|021-2935 6999|www.bayan.com.sg|corporate.secretary@bayan.com.sg|DATO' DR LOW TUCK KWONG
PT Cahayaputra Asa Keramik Tbk.|016863334028000|Mohammad Raylan||Andreas Willyanto Mesach|Lianawaty|||Johan Silitonga|Budi Agusti||||||||||||||Sanderawati Joesoef|Luciana Sutanto|Mohammad Raylan|||||||||||||Cynthia Ayu Mayanda||2018-10-31|Belleza Office Tower Lt. 21 Unit 01 - 02, Jl. Letjen. Soepeno No. 34, Kebayoran Lama, Jakarta Selatan 12210|(021) 25675721|-|www.kaisar-ceramics.com|support@kaisarceramics.com|PT Kobin Keramik Industri
PT Campina Ice Cream Industry Tbk.|0017227414631000|Doktorandus Makmur Widjaja||Bing Hartono Poernomosidi|Rudy Soraya|||Samudera Prawirawidjaja|Arif Harmoko Rayadi|Hans Jensen|Hendro Hadipranoto|Adji Andjono Purwo|||||||||||Insinyur Jutianto Isnandar|Doktorandus Makmur Widjaja||||||||||||||Sagita Melati||2017-12-19|Jl. Rungkut Industri II/ 15-17 Surabaya, RT.002 RW.006 Kel. Tenggilis Mejoyo Kec. Tenggilis Mejoyo, Surabaya|(031) 843-2247|(031) 843-9232|www.campina.co.id|corsec@campina.co.id|Sabana Prawirawidjaja
PT Capitol Nusantara Indonesia Tbk.|023750532725000|||SEM DAMARIS||||ANG AH NUI|ANG KOK TIAN|YANUAR CHAYADI WIJAYA|||||||||||||RICHIE LIMSON|HERYANTO COKRO||||||||||||||Riduwan Kosasih||2014-01-16|Jl. Pangeran Suriansyah No. 30-34 Samarinda – 75113 Kalimantan Timur, Indonesia|0541-732893/ 732897/ 731898/ 741921|0541 – 732891/ 738324|www.cani.co.id|office@cani.co.id|PT Anugrah Semesta Langgeng
PT Metro Healthcare Indonesia Tbk|804663086011000|dr. Rico Novyanto||Retno|Dominica Dwi Putri|||Ir. Henry Kembaren, MM|dr. Dedi Tedjakusnadi, MARS||||||||||||||dr. Agustinus Widjaja, C.Ht|dr. Rico Novyanto Sp.PD||||||||||||||dr. Dedi Tedjakusnadi, MARS||2020-03-13|Jl. Raya Serang Km 16,8 RT/RW 005/001, Kelurahan Sukamulya, Kecamatan Cikupa, Kabupaten Tangerang, 15710|+62 21 5964 7937|+62 21 5964 7871|www.metrohealthcareindonesia.co.id|cs@metrohealthcareindonesia.co.id|PT Metro Healthcare International
PT Industri dan Perdagangan Bintraco Dharma Tbk|011441078046000|Darmawan Widjaja||Himawan Gunadi||||Benny Redjo Setyono|Hartono Dinata||||||||||||||Paulus Totok Lusida|Darmawan Widjaja|Himawan Gunadi|||||||||||||Lina M. Ibrahim||2017-04-10|Sunburst CBD Lot II No. 3 BSD City, Kota Tangerang Selatan 15321|(+6221) 22356800|(+6221) 22356801|www.bintracodharma.com|investor.relation@bintracodharma.com|Masyarakat Non Warkat
PT Capital Financial Indonesia Tbk|0029915477012000|Harkie Kosadi||Ahmad Sujana|Susanto Halim|||Maliana Herutama Malkan|Muhamad Aidil Fathany||||||||||||||Harkie Kosadi|Darwin||||||||||||||Muhamad Aidil Fathany||2016-07-19|Gedung Menara Jamsostek Menara Utara Lt. 5 Jl. Jend. gatot Subroto No.38 Mampang Prapatan|(62) (21) 2708 2002|(62) (21) 2708 2001|www.capitalfinancial.co.id|corporate@capitalfinancial.co.id|PT CAPITAL STRATEGIC INVESCO
PT Cashlez Worldwide Indonesia Tbk.|732727177036000|Niniek Rahardja||Miranti Hadisusilo|Eddy Law|||Willy Chandry|Hendrik Adrianto||||||||||||||Surya Aseanto Putra|Niniek Rahardja||||||||||||||Hendrik Adrianto||2020-05-04|Gedung Atria @Sudirman, Lantai 23, Jl. Jenderal Sudirman Kav. 33A, RT.3/RW.2, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, 10220|0813-8080-7899|0|www.cashlez.com|corsec@cashlez.com|Masyarakat Non Warkat
Cahaya Aero Services Tbk|0029950946054000|ARMAND BACHTIAR ARIEF||HARYANTO SAHARI|REGINA JANSEN ARSJAH|-|-|Andya Daniswara|Sutji Relowati Rahardjo|Sunarsih||||||||||||||Djoko Suyanto|Armand Bachtiar Arief|Chi Cheng Bock|Agung Budi Maryoto|||||||||||Purnama Wirya||2011-12-05|Wisma Soewarna Lt.3, Soewarna Business Park, Bandara International Soekarno Hatta, Kelurahan Pajang, Kecamatan Benda, Kota Tangerang, Banten 15126|(021) 80885050|(021) 80885001|www.pt-cas.com|corporatesecretary@pt-cas.com|PT ROKET CIPTA SENTOSA
PT Bangun Kosambi Sukses Tbk|019306844026000|Hardjo Subroto Lilik||Purba Sibarani|Hendry|||Steven Kusumo|Linda Kusumo|Markus Kusumaputra|Yohanes Edmond Budiman|Arthur Salim|Christina Widjaja||||||||||Richard Halim Kusuma|Phiong Phillipus Darma|Hardjo Subroto Lilik|||||||||||||Yohanes Edmond Budiman||2025-01-13|Jl. Inspeksi PIK 2, Terusan Jalan Perancis No. 5 Tangerang 15211, Indonesia|02150282888|02150282888|www.cbdpik2.com|corporate.secretary@cbdpik2.com|PT Pantai Indah Kapuk Dua Tbk
PT Cahaya Bintang Medan Tbk|3148199399125000|Maliki||Paima Sianturi|Firman Dinata|||Andre William|Ernawati Sitepu||||||||||||||Ir. Martinus Tjendana|Dody Triasmara||||||||||||||Felicia Kweesly||2020-04-09|Kp. Patumbak, Jl. Pertahanan No. 111|061 7852277|061 7852266|www.cbm-furniture.com|corsec.cbmfurniture@gmail.com|PT Richiwa Sakti Indonesia
PT Citra Buana Prasida Tbk|019772839028000|Melissa Cresentia Kurniawan||Suhandi|Josephine Tri Anggraini|||Didi Omara|Linna Widjaja||||||||||||||Thomas Aquinas Pramukuswala|Gaery Djohari|Melissa Cresentia Kurniawan|||||||||||||Albert Karnof Purba, S.H.||2023-01-06|Komplek Paskal Hyper Square Blok G Lantai 2 No. 206, 208 Jl. H.O.S. Cokroaminoto No. 25, 27 dh. Jl. Pasirkaliki No. 25, 27 Bandung 40181|(022) 8606 1108||www.citrabuanaprasida.co.id|corsec@citrabuanaprasida.co.id|PT Sandhi Parama Nusa
PT Cakra Buana Resources Energi Tbk|769773938011000|Rivolinggo Pamudji||Raditia Christine Senjaya|Saka Marlinang Nainggolan|||Suminto Husin Giman|Amanda Octania||||||||||||||Suganto Gunawan|Suwito|Rivolinggo Pamudji|H. R. Agung Laksono|George Samuel|||||||||||Amanda Octania||2023-01-09|Sona Topas Tower Lt. 5A Jl. Jenderal Sudirman Kav.26. Jakarta Selatan 12920, Indonesia|(021) 25858070||www.cbre.co.id|corporate.secretary@cbre.co.id|PT Omudas Investment Holdco
PT Citra Borneo Utama Tbk|317354538713000|||Ibrahim|Fadli Akbar|||Rorry Christian Tobing|Ronny Hertantyo Raharjo||||||||||||||DR. Sofyan A. Djalil, SH, MA|Boumediene Sumurung . H||||||||||||||Alex Dwi Adha||2022-11-08|ASDP/Pelabuhan Roro Tempenek, Kelurahan Kumai Hulu, Kecamatan Kumai, Kabupaten Kotawaringin Barat, Kalimantan Tengah, 74181|(0532) 21297|(0532) 21396|www.citraborneoutama.co.id|corporate@citraborneoutama.co.id|PT Sawit Sumbermas Sarana Tbk
PT Communication Cable Systems Indonesia Tbk.|010712354055000|Bambang Rahardja Burhan||Triana Mulyatsa|Mike Linggawati|||Peter Djatmiko|Anang Pratikno|Ren Yi Newton Djatmiko|Harris Kristanto Gozali|Teuku Zulfikar|Irawan Mario Noh Palilingan|Erwin Richard Andersen|||||||||Chai Khye Yeien|Sudarno Khou|Bambang Adi Prastyo|||||||||||||IRAWAN MARIO NOH PALILINGAN||2019-06-18|Grand Slipi Tower lantai 45 Jalan Letjen S. Parman Kav 22-24 RT.001/ RW.004, Kel Palmerah, Kec. Palmerah, Kota Administrasi Jakarta Barat|021-29865963|021-29865984|www.ccsi.co.id|corsec@ccsi.co.id|PT Grahatama Kreasibaru
Cita Mineral Investindo Tbk|016707861091000|Parwoto Kartiko Sunu||Toni Setioko|Tsun Tien Wen Lie, SE, SH, MM|||Harry Kesuma Tanoto|Ferry Kadi|Robby Irfan Rafianto|Yusak Lumba Pardede||||||||||||Lim Gunawan Hariyanto|Andi Ibrahim Saleh|Darjoto Setyawan|Pascal Steven Jean||||||||||||Yusak Lumba Pardede||2002-03-20|Gedung Bank Panin Lantai 2 Jln Jend Sudirman Senayan Gelora Tanah Abang Jakarta Pusat 10270|021-7251344|021-72789885|citamineral.com|corsec@citamineral.com|PT Harita Jayaraya
PT Natura City Developments Tbk.|031938186403000|Bambang Sumanto||Adi Imansyah|Riesta Kristanti|Adi Imansyah|Riesta Kristanti|Elfi Darlis|Jose Francis Berces Acantilado|Rio Tinto Sirait|||||||||||||James Frederick Kwee|Yuli Dwi Kusmadi|Bambang Sumanto|||||||||||||Agnes Luciana||2018-09-28|Sentul International Convention Center, SICC Tower, Lantai 3 Jl. Jend. Sudirman No. 1, Sentul City,|+62 21 87953448|+62 21 87953449|www.naturacity.co.id|corsec@naturacity.co.id|Masyarakat Warkat
PT Citra Putra Realty Tbk|030360374063000|Rd James Rachmat Subekti||Galumbang Christianson Sitinjak|Sutia Wijaya|||Nany Adriani|Dr. H. Chairul Umaiya, MM. Ak.||||||||||||||Raja Sapta Ervian|Rd James Rachmat Subekti|Gories Mere|||||||||||||Joko Santoso||2019-01-18|Menara Bidakara 2 Lt 17 Jln. Jend. Gatot Subroto Kav. 71-73 Menteng Dalam, Tebet Jakarta Selatan 12870|021-29069370, 021-31996270|021-31996267|https://www.cpr.co.id/|corporate.secretary@cpr.co.id|PT Citra Putra Mandiri
PT Sariguna Primatirta Tbk|012334538641000|Ida Bagus Oka Nila||Fani Rida Toyiba|Heni Suswanti|||Melisa Patricia|Nio, Eko Susilo|Lukas Setio Wongso Wong|Toto Sucartono|Firdauf Achmad Dhewata|||||||||||Hermanto Tanoko|Ida Bagus Oka Nila|Belinda Natalia|||||||||||||Lukas Setio Wongso Wong||2017-05-05|Jl Raya A. Yani 41-43, Kompleks Central Square Blok C-1, Gedangan Sidoarjo - 61254|031 – 8544400|031 – 8544574|www.tanobel.com|corsec@tanobelfood.com|PT Tancorp Global Abadi
Colorpak Indonesia Tbk|010617595054000|JOHANNES SUSILO||ARDHINI BAROTORINI|MIEKE TIOE|||SANTOSO JIEMY|ANTONI GUNAWAN|HERLINA HATORANGAN|||||||||||||HARRIS PRANATAJAYA|TJIA HWIE TJIN|DIDIK SUSILO|||||||||||||Ibu Herlina Hatorangan||2001-11-30|Jl. Cideng Barat No.15 Jakarta Pusat 10140|021-590-19-62|021 - 590-1963|www.colorpak.co.id|herlina@colorpak.co.id|INK COLOR INT PTE LTD
Citra Marga Nusaphala Persada Tbk|010621514054000|Dionisius Widijanto||Benny Hakim Setiawan|Tinne Ratulangi|||Arief Budhy Hardono|Hasyim|Djoko Sapto M. Mulyo|||||||||||||Dahnu Teguh Adrianto|Dionisius Widijanto|Rizal Mallarangeng|||||||||||||Hasyim||1995-01-10|GEDUNG CMNP JL. YOS SUDARSO KAV. 28 JAKARTA 14350|(021) 65306930 (hunting)|(021) 65306391|www.cmnp.co.id|cmnp@citra.co.id|BP2S SG/BNP PARIBAS WEALTH MANAGEMENT SINGAPORE BRANCH
PT Cemindo Gemilang Tbk|031487143041000|Mahmuddin Yasin||Pradeep Kumar Kilpady|Djuaman|||Liu Chang I (Tony Liu)|Ameesh Anand|Surindro Kalbu Adi|||||||||||||Jacqueline Sitorus|Mahmuddin Yasin||||||||||||||Ameesh Anand||2021-09-08|Gedung Gama Tower Lantai 43, Jl. HR Rasuna Said Kav. C22, Kuningan, Jakarta Selatan 12940, Indonesia|(021) 21889999|(021) 21889991|www.cemindo.com|investor@cemindo.com|WH Investments Pte. Ltd.
PT AirAsia Indonesia Tbk|014828156054000|Sabam Hutajulu||Elok Tresnaningsih|Myrnie Zachraini|||VERANITA YOSEPHINE SINAGA|LUH GEDE MEGA PUTRI TJATERA||||||||||||||AHMAD AL FAROUK BIN AHMAD KAMAL|SABAM HUTAJULU|JULIANTO SIDARTO|REZA VIRYAWAN||||||||||||Liza Nur Azizah||1994-12-08|Redhouse AirAsia, Jalan Marsekal Surya Dharma (M1) No. 1 , Neglasari, Tangerang 15127|(021) 29850888|(021) 29850889|https://ir.aaid.co.id/|iaa_corporatesecretary@airasia.com|AIRASIA AVIATION GROUP LIMITED
PT Cisarua Mountain Dairy Tbk|024057648431000|Alexander S. Rusli||Danny Tjahjana|Hansen Bunardi Wijoyo|||Farell Grandisuri Sutantio|Axel Sutantio|Bharat Shah Joshi|Arjoso Wisanto|Martua Parningotan Sihaloho|Pamungkas Bayu Triprasetyo||||||||||Bambang Sutantio|Wenzel Sutantio|Alexander S. Rusli|||||||||||||Dinar Primasari||2021-12-06|Rukan Taman Meruya Jl. Komp. Rukan Taman Meruya No.N/27-28 Jakarta Barat 11620|+62 21 5874630|+62 21 5874630|www.cimory.com|corsec@cimory.com|Bambang Sutantio
Exploitasi Energi Indonesia Tbk|019011923054000|Cahyo Suryo Putro||Sudimin Mina|Limi Mulyanto|||Robin Wirawan|Erry Indriyana||||||||||||||Pudjianto Gondosasmito|Djoko Sumaryono|Edwin P Situmorang|Cahyo Suryo Putro||||||||||||Wim Andrian||2001-11-20|Sinarmas MSIG Tower, Lantai 9, Jl. Jendral Sudirman Kav.21, Setiabudi, Karet, Jakarta Selatan|021-80511130 021-80511131 021-80511132 021-80511133|021-80511134|www.energigroupindonesia.com|wim.andrian@energigroupindonesia.com|Masyarakat Non Warkat
